"draw_size";"p1_seed";"p1_name";"p1_ht";"p1_age";"p2_seed";"p2_name";"p2_ht";"p2_age";"best_of";"p1_rank";"p1_rank_points";"p2_rank";"p2_rank_points";"hard";"carpet";"clay";"grass";"p1_abs_wins_clay";"p1_abs_wins_hard";"p1_abs_wins_carpet";"p1_abs_wins_grass";"p2_abs_losses_clay";"p2_abs_losses_hard";"p2_abs_losses_carpet";"p2_abs_losses_grass";"p1_abs_losses_clay";"p1_abs_losses_hard";"p1_abs_losses_carpet";"p1_abs_losses_grass";"p2_abs_wins_clay";"p2_abs_wins_hard";"p2_abs_wins_carpet";"p2_abs_wins_grass";"Grand_Slam";"Masters1000";"Olympics";"Another_level";"p1_abs_wins_level1";"p1_abs_wins_level2";"p2_abs_losses_level1";"p2_abs_losses_level2";"p1_abs_losses_level1";"p1_abs_losses_level2";"p2_abs_wins_level1";"p2_abs_wins_level2";"tournament_year";"p1_h2h";"p2_h2h";"R64";"R32";"R16";"QF";"SF";"Final";"p1_hand_R";"p1_hand_L";"p2_hand_R";"p2_hand_L";"p1_ace_avg";"p2_ace_avg";"p1_df_avg";"p2_df_avg";"p1_svpt_avg";"p2_svpt_avg";"p1_1stIn_avg";"p2_1stIn_avg";"p1_1stWon_avg";"p2_1stWon_avg";"p1_2ndWon_avg";"p2_2ndWon_avg";"p1_SvGms_avg";"p2_SvGms_avg";"p1_bpSaved_avg";"p2_bpSaved_avg";"p1_bpFaced_avg";"p2_bpFaced_avg";"p1_home";"p2_home";"winner_last_name";"loser_last_name";"FirstAlphabetically";"target"
"84347";128;16;"Jim Courier";185;20.4;1;"Stefan Edberg";188;24.9;5;23;950;1;3889;1;0;0;0;28;53;13;2;26;47;40;16;0;29;0;0;0;216;0;0;1;0;0;0;42;54;51;78;22;0;205;0;1991;1;2;0;0;1;0;0;0;1;0;1;0;2;2.33333333333333;2;3.66666666666667;71;92;40;65.3333333333333;29;46.3333333333333;18;12;11;13.6666666666667;1;4.66666666666667;3;7;0;0;"Edberg";"Courier";"Courier";0
"84349";128;13;"Aaron Krickstein";183;23.4;3;"Ivan Lendl";188;30.8;5;22;967;3;2541;1;0;0;0;95;126;34;3;56;42;37;21;0;57;0;0;0;301;0;0;1;0;0;0;80;178;59;97;47;0;335;0;1991;1;5;0;0;1;0;0;0;1;0;1;0;3;3.33333333333333;1;2;108;95.3333333333333;68;65.6666666666667;43;48.3333333333333;24;16.3333333333333;14;14.6666666666667;9;2.33333333333333;11;3.66666666666667;0;0;"Lendl";"Krickstein";"Krickstein";0
"84561";32;1;"Boris Becker";190;23.2;7;"Michael Chang";175;18.9;3;1;3935;16;1119;0;1;0;0;0;0;132;0;0;0;12;0;28;26;26;9;22;58;24;8;0;0;0;1;0;208;0;34;39;50;46;66;1991;0;0;0;0;0;1;0;0;1;0;1;0;9.44444444444444;2;2.33333333333333;4;105;68;69.1111111111111;36;51.7777777777778;20;20;11;17;10;3.77777777777778;5;6.11111111111111;11;0;0;"Becker";"Chang";"Becker";1
"84564";32;2;"Stefan Edberg";188;25;8;"Jakob Hlasek";188;26.2;3;2;3802;15;1131;0;1;0;0;0;0;105;0;0;0;42;0;28;48;40;16;72;84;80;17;0;0;0;1;0;247;0;114;52;80;71;182;1991;11;1;0;0;0;1;0;0;1;0;1;0;3.28571428571429;4.33333333333333;4;1.66666666666667;90.7142857142857;93;62.1428571428571;54.6666666666667;44.7142857142857;36.3333333333333;13.7142857142857;21.6666666666667;13.8571428571429;14.6666666666667;5.14285714285714;4.33333333333333;7.28571428571429;7.66666666666667;0;0;"Edberg";"Hlasek";"Edberg";1
"84565";32;2;"Stefan Edberg";188;25;4;"Guy Forget";190;26.1;3;2;3802;11;1352;0;1;0;0;67;218;106;64;60;52;37;19;0;0;40;0;0;0;37;0;0;0;0;1;207;248;60;108;0;80;0;135;1991;4;1;0;0;0;0;1;0;1;0;0;1;6;8.08333333333333;10;1.66666666666667;161;69.9166666666667;97;39.75;68;33.0833333333333;35;18.8333333333333;27;12.4166666666667;4;1.91666666666667;10;2.66666666666667;0;0;"Forget";"Edberg";"Edberg";0
"84601";48;3;"Brad Gilbert";185;29.5;14;"Paul Haarhuis";188;24.9;3;7;1580;52;600;0;1;0;0;0;0;105;0;0;0;7;0;31;87;55;14;12;11;7;2;0;0;0;1;0;323;0;25;47;140;13;19;1991;1;1;0;0;1;0;0;0;1;0;1;0;10.4285714285714;3.5;3;4;88.1428571428571;104.5;50.8571428571429;64;38.1428571428571;39.5;19.2857142857143;21;14;15.5;4.71428571428571;8;6.85714285714286;13;1;0;"Gilbert";"Haarhuis";"Gilbert";1
"84604";48;13;"Wally Masur";180;27.7;4;"John McEnroe";180;31.9;3;49;620;17;1096;0;1;0;0;13;89;32;80;43;48;55;16;0;0;29;0;0;0;333;0;0;0;0;1;51;163;62;100;0;130;0;583;1991;1;4;0;0;1;0;0;0;1;0;0;1;3;5.33333333333333;3;6;107.333333333333;53.3333333333333;74;29.3333333333333;47.6666666666667;24.6666666666667;14.6666666666667;13;15.6666666666667;8.66666666666667;5;2.33333333333333;9.33333333333333;3;0;1;"McEnroe";"Masur";"Masur";0
"84607";48;1;"Ivan Lendl";188;30.9;7;"Michael Stich";193;22.3;3;3;2353;30;856;0;1;0;0;0;0;228;0;0;0;10;0;56;43;38;21;6;29;8;8;0;0;0;1;0;564;0;27;60;98;12;39;1991;2;0;0;0;0;1;0;0;1;0;1;0;7.11111111111111;8.33333333333333;2.66666666666667;7;90.4444444444444;94.6666666666667;54.5555555555556;54;43.1111111111111;41.3333333333333;20.2222222222222;17;14.7777777777778;14;2.11111111111111;4.66666666666667;3.55555555555556;7.33333333333333;1;0;"Lendl";"Stich";"Lendl";1
"84610";48;9;"Petr Korda";190;23;2;"Pete Sampras";185;19.5;3;39;708;5;1689;0;1;0;0;16;7;26;2;5;25;11;4;0;0;13;0;0;0;22;0;0;0;0;1;10;41;20;25;0;35;0;45;1991;0;1;0;0;0;1;0;0;0;1;1;0;2.5;6;5;2;101;61;53;39.5;35.5;31;27;14.5;17;10.5;5;2.5;9.5;3;0;1;"Sampras";"Korda";"Korda";0
"84611";48;3;"Brad Gilbert";185;29.5;1;"Ivan Lendl";188;30.9;3;7;1580;3;2353;0;1;0;0;38;236;107;18;56;43;38;21;0;0;55;0;0;0;229;0;0;0;0;1;74;325;60;98;0;140;0;565;1991;0;15;0;0;0;0;1;0;1;0;1;0;2.5;6.6;4;2.4;87.5;87.9;50;52.2;38.5;40.9;16;20.6;14;14.3;3.5;2.2;7;3.5;1;1;"Lendl";"Gilbert";"Gilbert";0
